2016,06-16-2016,1,3.8
2016,06-16-2016,2,3.0
2016,06-16-2016,3,1.5
2016,06-16-2016,4,1.6
2016,06-16-2016,5,1.5
2016,06-16-2016,6,1.6
2016,06-16-2016,7,0.7
2016,06-16-2016,8,0.0
2016,06-16-2016,9,-1.4
2016,06-16-2016,10,-0.8
2016,06-16-2016,11,2.1
2016,06-16-2016,12,1.3
2016,06-16-2016,13,0.3
2016,06-16-2016,14,-1.4
2016,06-16-2016,15,1.1
2016,06-16-2016,16,2.5
2016,06-16-2016,17,0.1
2016,06-16-2016,18,2.1
2016,06-16-2016,19,0.2
2016,06-16-2016,20,1.6
2016,06-16-2016,21,2.4
2016,06-16-2016,22,2.6
2016,06-16-2016,23,0.8
2016,06-17-2016,0,1.9
2016,06-17-2016,1,2.4
2016,06-17-2016,2,-1.2
2016,06-17-2016,3,0.2
2016,06-17-2016,4,-1.9
2016,06-17-2016,5,-0.4
2016,06-17-2016,6,1.6
2016,06-17-2016,7,-0.5
2016,06-17-2016,8,-2.0
2016,06-17-2016,9,-1.1
2016,06-17-2016,10,0.0
2016,06-17-2016,11,2.7
2016,06-17-2016,12,4.9
2016,06-17-2016,13,-2.3
2016,06-17-2016,14,-0.1
2016,06-17-2016,15,0.6
2016,06-17-2016,16,1.3
2016,06-17-2016,17,-2.5
2016,06-17-2016,18,0.4
2016,06-17-2016,19,0.5
2016,06-17-2016,20,1.7
2016,06-17-2016,21,1.9
2016,06-17-2016,22,-0.1
2016,06-17-2016,23,0.3
2016,06-18-2016,0,1.8
2016,06-18-2016,1,1.5
2016,06-18-2016,2,-0.5
2016,06-18-2016,3,-1.8
2016,06-18-2016,4,1.4
2016,06-18-2016,5,0.7
2016,06-18-2016,6,-1.0
2016,06-18-2016,7,0.3
2016,06-18-2016,8,-0.4
2016,06-18-2016,9,0.1
2016,06-18-2016,10,0.3
2016,06-18-2016,11,1.1
2016,06-18-2016,12,0.7
2016,06-18-2016,13,0.5
2016,06-18-2016,14,1.8
2016,06-18-2016,15,2.8
2016,06-18-2016,16,-0.3
2016,06-18-2016,17,2.1
2016,06-18-2016,18,1.5
2016,06-18-2016,19,-1.6
2016,06-18-2016,20,0.8
2016,06-18-2016,21,-0.1
2016,06-18-2016,22,0.3
2016,06-18-2016,23,0.4
2016,06-19-2016,0,0.0
2016,06-19-2016,1,0.7
2016,06-19-2016,2,0.8
2016,06-19-2016,3,-0.9
2016,06-19-2016,4,0.1
2016,06-19-2016,5,0.7
2016,06-19-2016,6,-0.9
2016,06-19-2016,7,0.0
2016,06-19-2016,8,1.0
2016,06-19-2016,9,1.3
2016,06-19-2016,10,-0.5
2016,06-19-2016,11,0.0
